,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,7,3,15,-4,,1,,,
1,,5LL,None,700,,,All,10,4,22,-10,,2,,,
2,,5LLL,None,1000,U3+,,Throw,10,1,19,,,,,,
3,,5M,None,700,,,All,11,3,17,-4,,2,,,
4,,5H,None,850 / 1000,U1,,All,15,11,21,-8,13-25 Strike Armor,4,,,
5,,5S,None,600×2,,,All,15,,Total 55,-10,,,,,
6,,2L,None,400,,,Low,8,3,13,-4,,1,,,
7,,2M,None,700,,,Low,13,4,24,-12,,2,,,
8,,2H,None,850 / 1000,U1+,,All,15,9,23,-22,4-14 Head15-23 Strike Armor,4,,,
9,,6M,None,850,,,High,24,6,4+6L,±0,,3,15,18,23
10,,j.L,None,400,,,High,8,10,11,,,1,,,
11,,j.M,None,700,,,High,11,6,12,,,2,,,
12,,j.H,None,850,U1 [D3],,All,15,8,21,,13-22 Strike Armor,3,,,
13,,j.S,None,600×2,,,All,18,,Total 47+3L,,,,,,
14,,j.2H,None,850,D1,,High,19,Until Landing,18,-5 ~ -1,,3,,,
0,,236L,L Dynamite Driver,1800,D2,,Throw,17,1,26,,,,,,
1,,236M,M Dynamite Driver,1800,U1+ → D2,,Throw,26,1,28,,4-27 Guard P,,,,
2,,236H,H Dynamite Driver,1800,U1+ → D2,,Throw,24,1,28,,4-25 Guard P,,,,
3,,j.236L,L Gliding Powerbomb,700 / 1400,U1,,Throw,10,,+3L,,,,,,
4,,j.236M,M Gliding Powerbomb,"700 / 1400,200",U1+,,Throw,19,,+3L,,,,,,
5,,j.236H,H Gliding Powerbomb,"900 / 1400,200",U1+,,Throw,11,,+3L,,,,,,
6,,214L,L Flying Powerbomb,700 / 1400,U1,,Throw,10,,+3L,,4-10 Head,,,,
7,,214M,M Flying Powerbomb,700 / 1400,U1,,Throw,19,,+3L,,4-19 Head,,,,
8,,214H,H Flying Powerbomb,"300,900 / 300,1500",U1,,"Low, Throw",6,,+3L,-1,1-13 Head,,,,
9,,j.214L,Air L Flying Powerbomb,700 / 1400,U1,,Throw,10,,+3L,,4-10 Head,,,,
10,,j.214M,Air M Flying Powerbomb,700 / 1400,U1,,Throw,19,,+3L,,4-19 Head,,,,
11,,j.214H,Air H Flying Powerbomb,900 / 1800,U1,,Throw,12,,+3L,,1-13 Head,,,,
12,,236S,Hell Heat (Far),270×4,,,All,18,15,22,-1,,,,,
13,,214S,Hell Heat (Close),150×8,,,All,24,15,18,+8,,,,,
0,,Assist A,Hell Heat,450×2,,,All,22,,,+26,,,,,
1,,Assist B,Hell Impact,250×4,,,All,31,,,+31,,,,,
2,,Assist C,Hyper Tackle,"450×2, 400",,,All,35 [21],,,+50,,,,,
0,,236L+M,L+M Hell Flash,335×8 [300×8],UDV,,All,9+4,49,45,-23,9-20 All,,,,
1,,236H+S,H+S Hell Flash,322×8 [300×8],UDV,,All,9+4,49,45,-23,9-20 All,,,,
2,,j.236L+M,Air Hell Flash,322×8 [300×8],UDV,,All,9+4,49,45,-23,9-20 All,,,,
3,,214L+M,Hell Flash Maximum Output,4816,UDV,,Throw,9+3,1,28,,1-12 All,,,,
4,,214H+S,Last Resort,50000,UDV,,Throw,31+34,4,37,,"1-68 All, 1-105 Ki Blasts",,,,
