,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,3,,-3,,1,,,
1,,5LL,None,700,,,All,9,4,,-4,,2,,,
2,,5LLL,None,1000,U3+,,All,13,4,,-5,,4,,,
3,,5M,None,700,,,All,10,4,,-6,,2,,,
4,,5H,None,850 / 1000,U1,,All,15,4,,-8,,4,,,
5,,5S,None,600,,,All,13,,Total 37,-4,,,,,
6,,2L,None,400,,,Low,7,2,,-2,,1,,,
7,,2M,None,700,,,Low,11,3,,-10,,2,,,
8,,3M,None,700,,,Low,17,3,,-10,,2,,,
9,,2H,None,850 / 1000,U1+,,All,16,3,22+10L,-19,4-18 Head,,,,
10,,2S,None,450×3,,,All,21,,Total 38,+4,,,,,
11,,6M,None,850,,,High,24,6,4+6L,±0,,3,15,18,23
12,,j.L,None,400,,,High,6,3,,,,1,,,
13,,j.M,None,700,,,High,10,4,,,,2,,,
14,,j.H,None,750 [1000],[D3+],,High,14,5,,,,3,,,
15,,j.S,None,400×3,,,All,18,,Total 45+6L,,,,,,
16,,j.2H,None,750,U1+,,All,13,4,,,,3,,,
0,,236L,L Total Detonation Ball,900,,,All,18,,Total 56,-10,,,,,
1,,236M,M Total Detonation Ball,900,,,All,18,,Total 50,-4,,,,,
2,,236H Level 0,H Total Detonation Ball (Level 0),900,,,All,16,,Total 43,+1,,,,,
3,,236H Level 1,H Total Detonation Ball (Level 1),700×2,,,All,16,,Total 41,+5,,,,,
4,,236H Level 2,H Total Detonation Ball (Level 2),700×3,,,All,16,,Total 41,+10,,,,,
5,,236H Level 3,H Total Detonation Ball (Level 3),700×4,,,All,16,,Total 41,+15,,,,,
6,,236H Level 4,H Total Detonation Ball (Level 4),700×5,,,All,16,,Total 41,+20,,,,,
7,,214L,L Hors d'Oeuvre Stab,"200,800 / 200,300 / 0,1000",U1+,,All,12,,,-5,,,,,
8,,214M,M Hors d'Oeuvre Stab,"200,800 / 200,300 / 0,1100",U1+,,All,14,,,-5,,,,,
9,,214H,H Hors d'Oeuvre Stab,"600,1000 / 600,1000 / 0,1200",U1+,,All,14,,,-5,,,,,
10,,j.214L,Air L Hors d'Oeuvre Stab,"200,800 / 200,300 / 0,1000",U1+,,All,13,,,-5,,,,,
11,,j.214M,Air M Hors d'Oeuvre Stab,"200,800 / 200,300 / 0,1100",U1+,,All,15,,,-5,,,,,
12,,j.214H,Air H Hors d'Oeuvre Stab,"600,1000 / 600,1000 / 0,1200",U1+,,All,13,,,-5,,,,,
13,,236S,Connoisseur Cut,900,D2,,Throw,24,,,,,,,,
14,,j.236S,Air Connoisseur Cut,900,D2,,Throw,13,,+3L,,,,,,
15,,214S,Aerial Connoisseur Cut,900,D2,,Throw,13,,+3L,,4-13 Head,,,,
16,,j.214S,Air Aerial Connoisseur Cut,900,D2,,Throw,13,,+3L,,,,,,
0,,236B,Kamehameha,262×5,,,All,18,25,,-8,,,,,
1,,j.236B,Air Kamehameha,262×5,,,All,18,25,,,,,,,
2,,214B,Solar Flare,0,,,All,10,5,,-1,4-10 Head,,,,
3,,j.214B,Air Solar Flare,0,,,All,10,5,,,4-10 Head,,,,
4,,236Y,Consecutive Energy Blast,170×8,,,All,12,,,-7,,,,,
5,,j.236Y,Air Consecutive Energy Blast,170×8,,,All,12,,+6L,,,,,,
6,,214Y,Sticky Energy Blast,1400,D2,,Throw,17,5,,,1-21 Head,,,,
7,,j.214Y,Air Sticky Energy Blast,1400,D2,,Throw,16,,,,1-20 Head,,,,
8,,236G,Explosive Energy Blast,"(400,800)×2",,,All,19,,Total 39,+11,,,,,
9,,j.236G,Air Explosive Energy Blast,"(400,800)×2",,,All,15,,,,,,,,
10,,214G,Barrier Sphere,,,,,,,Total 50,,"4-41 Non-throw, non-Super",,,,
11,,j.214G,Air Barrier Sphere,,,,,,,Total 50+6L,,"4-41 Non-throw, non-Super",,,,
12,,236P,Homing Energy Blast,700,,,All,18,,Total 45,-7,,,,,
13,,j.236P,Air Homing Energy Blast,700,,,All,18,,Total 47+6L,,,,,,
14,,214P,Sonic Warp,,,,,,,Total 32,,15-26 All,,,,
15,,j.214P,Air Sonic Warp,,,,,,,Total 37,,15-26 All,,,,
0,,Assist A,Total Detonation Ball,800,,,All,26,,,+30,,,,,
1,,Assist B,Hors d'Oeuvre Stab,"200, 800",,,All,26,,,+29,,,,,
2,,Assist C,Snack Time,"450×2, 400",,,All,46 [21],,,+50,,,,,
